Объект,Полный адрес,Вид объекта,описание предмета охраны
Ограда с бюстами,   ,Памятник,"1. Объемно-пространственное и планировочное решение:исторические конфигурация, габариты,  местоположение ограды, расположенной по западной границе участка (по красной линии набережной Ново-Адмиралтейского канала).  2. Конструктивная система :глухая кирпичная стена – в уровне 1-го этажа.3. Архитектурно-художественное решение фасадов:материал   и   характер отделки   цоколя – известняк; материал и характер отделки фасада – окрашенная штукатурка, руст квадром;плоскость стены с прямоугольными нишами с тройными замковыми камнями;с широкой профилированной тягой, окрытой металлом;с балюстрадным ограждением из фигурных балясин и парапетных филенчатых тумб между ними;на тумбах установлены 12 бюстов римских императоров (бетон, литье) на низких квадратных постаментах."
Ворота,"  Московская область, Коломенский г.о., г. Коломна, Октябрьской революции ул.",Памятник,
Церковь Рождества Богородицы,"  Рязанская область, Касимовский район, с. Перво",Памятник,"градостроительная характеристика здания, расположенного на возвышенном месте, в центральной части  села;  объемно-пространственная композиция церкви, возведённой в I-й пол.   XVIII в., построенная из однокупольного бесстолпного двухсветного, квадратного в плане, четверика, полукруглой апсиды, трапезной с северным Никольским приделом и двухъярусной колокольни (восьмерик на четверике, второй ярус сильно вытянут); позолоченный луковицевидный купол, венчающий низкого подъема сферический купол четверика; восьмигранный шлемовидный купол колокольни, увенчанный двойным коническим усеченным восьмигранным куполком; четырехконечные кресты с шаром в основании; двухскатная крыша трапезной; полукупол апсиды; габариты и высотные отметки;  местоположение, габариты, конфигурация и оформление дверных и оконных проемов здания; прямоугольная форма окон четверика и трапезной, прямоугольная с лучковым завершением форма оконных проемов апсиды; арочные проемы, декорированные белокаменным замковым камнем, прорезывающие четверик колокольни (южный и северный проемы в настоящее время заложены); арочные проемы звонов колокольни; наличники, повторяющие форму окон (в трапезной и четверике дополнены треугольными сандриками); прямоугольная форма южного дверного проема и арочная – западного, а также материал и характер заполнения дверных и оконных проемов: деревянные окна, деревянные и металлические двери;  композиция и архитектурно-художественное оформление фасада, характерного для первой половины XVIII в., включая основные элементы декоративного убранства, которыми являются: лопатки, фланкирующие углы четверика, трапезной и колокольни, раскрепованные на уровне тяг (пилястры второго яруса колокольни членятся на равные части посредством карнизных поясков); подкарнизный поясок апсиды (образованный двумя рядами продольных тяг, между которыми расположены поставленные на вершину квадратные филенки), переходящий в северную и южную плоскости четверика; высокий рельефно выделенный цоколь первого яруса колокольни; надцокольный, междуярусный и венчающий профилированные карнизы; квадратные белокаменные вставки, расположенные в гранях колокольни, в первом ярусе, имеющие нишу в виде креста, во втором ярусе с восьмигранной нишей; белокаменная профилированная тяга, проходящая над арочными проемами и опоясывающая поверху второй ярус колокольни;   конструкции капитальных кирпичных фундаментов; кирпичных стен; перекрытий (трапезная и придел перекрыты системой цилиндрических сводов с распалубками, сам храм кубическим сводом, апсида – полусферой, второй ярус колокольни перекрыт восьмидольным сводом);    материал и техника кладки капитальных стен: красный кирпич; кровля над трапезной, четвериком, апсидой: листовой металл; у купола колокольни:  металл «под золото» в шашечку квадратной формы; материал архитектурных деталей – красный кирпич и белый камень;   художественный металл: кованые решётки, состоящие из диагональных ячеек с перехватами в местах пересечения прутьев;   характер обработки фасадной поверхности здания, неоштукатуренные поверхности наружных стен, включая облицованный белым камнем цоколь.    "
Дом жилой со встроенным магазином," Алтайский край,  г. Барнаул,  пр-кт Калинина, 18/ ул. Сизова, 53",Памятник,
"Памятник-мемориал в честь односельчан, погибших на фронтах Великой Отечественной войны"," Амурская область, Магдагачинский район, с. Черняево, центральный сквер села",Памятник,"Предметом охраны объектов культурного наследия регионального значения   «Памятник – мемориал в честь односельчан, погибших на фронтах Великой Отечественной войны»,   «Памятник в честь 120-летия основания с. Черняево»,   «Братская могила советских пограничников» являются:  имеющееся захоронение (останки);   существующее местоположение;  конструктивное и архитектурно-художественное решение надмогильного сооружения, состоящего из: двухступенчатого прямоугольного основания, кубического постамента, пирамидального обелиска, увенчанного пятиконечной звездой, памятной доски с надписью: «Здесь похоронены пограничники, геройски павшие в Виссимунском бою при обороне границы СССР 3.08.1929/ Сарапульцев Н.И./ Шешуков П.А./ Ростовцев В.Е./ Белкин Л.И./ Новичугов И.»;  художественно-образное и композиционное решение монумента, состоящего из:  дугообразной двухступенчатой стелы, увенчанной объемным изображением колосьев, обвитых лентой и перекрещенных серпа и молота, мемориальной таблички с датой «1858»;  ступенчатой многоуровневой горизонтальной стелы, изображения ордена Отечественной войны, 8 памятных табличек с именами погибших воинов – жителей с. Черняево, мемориальной таблички с надписью: «Живые, помните!», 8 памятных табличек с именами жителей села, вернувшихся с войны, мемориальной надписи: «Они вернулись с войны», размещенной на трех табличках, двух объемных стилизованных изображений приспущенных знамен;  габариты и конфигурация элементов памятника;  характер обработки поверхности элементов памятника: штукатурка и окраска поверхностей постамента;  основные материалы, использованные при возведении монумента: бетон, металл, мрамор, пластик.  "
Дом Людерса Г.Г.," Амурская область, г. Благовещенск, ул. Зейская, 245",Памятник,"Предметом охраны объекта культурного наследия регионального значения «Дом Людерса Г.Г.» является:  градостроительная характеристика здания, расположенного на красной линии улицы Зейской в историческом центре города;  объёмно-пространственная композиция прямоугольного в плане двухэтажного (с цокольным этажом) объема здания, высотные отметки изначального варианта крыши;   композиционное решение и архитектурно-художественное оформление фасадов, сложившиеся в начале XX века, включающие:  центрально-осевую композицию главного (южного) фасада с 4-мя оконными осями и фрагмент западного фасада, начинающийся от правого угла, включающий четыре оконных проема и дверной проём ныне существующего главного входа, выполненные в стиле кирпичной эклектики с мотивами классицизма и элементом барокко в виде полуфронтона южного фасада;  местоположение, габариты и конфигурация дверных и оконных проёмов на фасадах здания: осевое расположение на главном фасаде, полуциркульная форма второго ряда и лучковая – первого;  облицованный гранитными плитами цоколь на главном фасаде;   взятые в рамку оконные проемы цокольного этажа с лучковыми перемычками и накладками над ними, повторяющими в нижней части лучковую форму проемов и филенки двух размеров, расположенные одна над другой в простенках;  междуэтажный пояс на южном фасаде, состоящий из крупного руста под оконными простенками, чередующегося с филенками, расположенными под оконными проемами;  профилированный подоконный карниз, объединяющий оконные проемы первого этажа, ступенчатый на южном фасаде и состоящий из облома в виде валика, подчеркивающий два оконных проема западного фасада (в настоящее время демонтирован при ошкуривании фасада);  фланговая рустовка главного фасада;  декоративное обрамление полуциркульных оконных проёмов второго ряда в виде такой же формы, широких, выступающих из плоскости стены, наличников и стоек наличников, в виде стилизованных филенчатых пилястр, взятых в рамку и увенчанных сандриками в виде прямолинейных профилированных карнизов;  плоские полуциркульные наличники трех оконных проемов и дверного проема фрагмента западного фасада, завершающиеся короткими висячими лопатками, ограниченными вверху и внизу выступами с четвертными валиками;  фриз из профилированных поясов и декора из сухариков между ними, на южном фасаде и аналогичный по декору, но без нижнего пояса на фрагменте западного фасада;  профилированный венчающий карниз с валиком из тесаного кирпича на южном и фрагменте западного фасада;   невысокий кирпичный парапет, расположенный над карнизом, акцентированный по оси фасада разорванным полуфронтоном с лучковым завершением, фланкированный профилированными столбиками прямоугольного сечения с лепным вазоном, сохранившимся только на восточном столбике;  конструкции капитальных фундаментов (бутобетонный), капитальных стен (рельефная лицевая кладка из красного глиняного кирпича на известковом растворе), перекрытий (междуэтажное – кирпичное сводчатое по металлическим балкам, чердачное – деревянное балочное);  характер обработки фасадной поверхности здания: глиняный кирпич с расшивкой швов, гранитный цоколь.  историческая пространственно-планировочная структура интерьера в капитальных стенах, сложившаяся в конце XIX века.      "
"Братская могила мирных жителей, расстрелянных немецко-фашистскими захватчиками"," Брянская область, Гордеевский район, с. Гордеевка",Памятник,
"Братская могила 6 советских активистов, расстрелянных в 1941-1943 гг. немецко-фашистскими захватчиками"," Брянская область, Гордеевский район, с. Гордеевка, кладбище",Памятник,
Монастырь Николо-Одринский," Брянская область, Карачевский район, с. Одрино",Ансамбль,
Памятник В.И.Ленину," Брянская область, Климовский район, р.п. Климово",Памятник,
"Братская могила 120 советских воинов, погибших в 1941 и 1943 гг. в боях с немецко-фашистскими захватчиками"," Брянская область, Севский район, с. Хвощевка",Памятник,
Церковь Двенадцати Апостолов," Вологодская область, Кирилловский район, ул. Гагарина, д. 84",Памятник,
Здание административное," Калининградская область, город Калининград, ул. Профессора Баранова, 45",Памятник,
Дом жилой," Калининградская область, город Калининград, улица Пролетарская, 117",Памятник,
Капелла," Калининградская область, город Правдинск, улица Кутузова, 42",Памятник,"1. Объемно-пространственная композиция объекта: прямоугольное в плане двухэтажное здание с мезонином на западном фасаде; крыша с крутым подъемом – двускатная, на мезонине крыша – двускатная.  2. Стилевые особенности: объект построен в стиле «эклектика», господствовавшим в архитектуре и культуре в конце XIX – начале XX вв.  3. Конструктивные элементы и материалы: форма и заполнение оконных и дверных проемов – полуциркульные и плоские арки оконных и дверных проемов, двустворчатые окна с расстекловкой; фигурные щипцы с завершением в виде башенок на северном и южном фасадах; проем в верхней башенке щипца с полуциркульной аркой на лицевом фасаде; материалы стен: керамический обожжённый кирпич на известково-песчаном растворе.  4. Декоративное оформление фасадов: кирпичные наличники оконных проемов полуциркульной формы; пояски карнизов; зубчатый фриз щипцов.  5. Цветовое решение фасадов: сочетание светлой штукатурки и красного кирпича поясков и тяг.  6. Место объекта в исторической градостроительно-планировочной структуре.  7. Рельеф местности: ровный, спокойный.  8. Границы территории объекта.  "
Корпус тюремный," Калининградская область, город Черняховск, улица Пригородная, 2, литер К",Памятник,"Корпус тюремный литер К - трёхэтажное здание, состоящее из трёх объёмов, примыкающих друг к другу с западной и северной стороны, его месторасположение, основные габариты, особенности объемно-планировочного решения и конструктивные особенности исторические габариты и геометрия кровли."
"Дом приезжих, XIX в."," Калужская область, г. Боровск, ул. Урицкого, д. 9",Памятник,Предмет охраны не утвержден
"Обелиск воинам-односельчанам, погибшим в ВОВ"," Карачаево-Черкесская Республика, Адыге-Хабльский район,а.Эрсакон, ДК",Памятник,
"Могила неизвестного воина, погибшего в 1943 году"," Карачаево-Черкесская Республика, Зеленчукский район,  с. Хасаут-Греческий",Памятник,
"Памятник воинам-односельчанам, погибшим в годы Великой Отечественной войны"," Карачаево-Черкесская Республика, Зеленчукский район, село Маруха",Памятник,
"Памятник воинам, погибшим в годы гражданской  войны"," Карачаево-Черкесская Республика, Зеленчукский район, ст.Исправная, парк культуры.",Памятник,
"Бюст и обелиск воинам-землякам и жителям станицы, погибшим в ВОВ"," Карачаево-Черкесская Республика, Зеленчукский район,ст. Исправная , парк",Памятник,
"Памятник над могилой воинов и партизан, погибших в ВОВ"," Карачаево-Черкесская Республика, Карачаевский городской округ, г.Карачаевск, западная сторона города",Памятник,
"Братская могила воинов, погибших в 1942-43 гг."," Карачаево-Черкесская Республика, Усть-Джегутинский район, г.Усть-Джегута, парк",Памятник,
Дом жилой Нагорова (Масленникова)," Костромская область, город Кострома, ул. Комсомольская, 45",Памятник,
Дом жилой," Костромская область, город Кострома, улица Ленина, д. 57А",Памятник,
"«Здание начального училища», 1914 г."," Краснодарский край, Щербиновский район, станица Старощербиновская, ул. им. Энгельса, 160, лит. А",Памятник,"а) Градостроительные характеристики:  местоположение объекта в западной части исторического центра станицы Старощербиновской на угловом участке квартала (пересечение улиц им. Энгельса и им. Красина);  главное здание домовладения; исторический архитектурный акцент в застройке улиц им. Энгельса и им. Красина;  обширная зона видовых раскрытий объекта культурного наследия, сосредоточенная на перекрестке и вдоль проезжей и пешеходной частей улиц им. Энгельса и им. Красина.  б) Архитектурные и конструктивные характеристики на начало ХХ в.:  объемно-пространственная композиция на начало ХХ в.: одноэтажное прямоугольное в плане здание (18,40 х 11,50 м) под вальмовой крышей (угол наклона кровли – 30-35 градусов); два аттика – над южным фасадом, два аттика – над восточным фасадом;  композиция и архитектурно-художественное оформление фасадов:  южный фасад (ул. Красина), с композиционной схемой в шесть световых осей, восточный фасад (ул. Энгельса) – в четыре световых оси, северный фасад – в шесть световых осей, западный фасад – в три световых оси;  плоскости южного и восточного фасадов, раскрепованные на три части плоскими лопатками;  боковые части, завершающиеся аттиками с фронтонами лучковой конфигурации;  аттики фасада по ул. им. Энгельса, декорированные вставками песчаника с рельефными надписями: инициалы «А.Д.Н.» (слева) и год постройки «1914г.» (справа);  оконные проемы с прямолинейными перемычками, обрамленные плоскими кирпичными наличниками, увенчанными криволинейными разорванными сандриками в центральных частях уличных фасадов;  профилированный венчающий карниз, декорированный сухариками, опоясывающий здание по периметру;  подоконная часть уличных фасадов, оформленная декоративным элементом.  Конструктивные элементы:  фундаменты ленточные кирпичные;   стены кирпичные;  деревянные по деревянным балкам перекрытия;   стропильная система деревянная;   кровля металлическая с фальцевым соединением.  Вид отделки фасадной поверхности:   фасады – лицевой кирпич с рельефным декором в кирпичной кладке.  в) Историческая и функциональная ценность:  подлинный пример провинциальной кирпичной архитектуры периода эклектики, представляющий собой тип общественного здания начала ХХ века."
Дом жилой промышленника М.И. Мисожникова," Краснодарский край, г. Армавир, городской округ город Армавир, ул. Ленина, 114",Памятник,"а) Градостроительные характеристики:  местоположение объекта в системе застройки: объект расположен по линии застройки улицы Ленина исторической части города Армавира, в квартале, образованном пересечением улицы Ленина, улицы Горького,                 улицы Фрунзе, улицы Урицкого;  композиционная значимость: здание участвует в формировании южного фронта исторической застройки ул. Ленина;  габариты и силуэт: габаритные размеры в плане и высотные отметки здания на 1900-е гг.;  секторы и направления видовых раскрытий, визуальные связи объекта: северо-восточным фасадом ориентирован на ул. Ленина, видовое раскрытие и восприятие объекта с ул. Ленина на участке от места ее пересечения с ул. Урицкого до места ее пересечения с ул. Горького, а также с прилегающей дворовой территории объекта.  б) Архитектурные и конструктивные характеристики:  объемно-пространственная композиция на 1900-е гг.: одноэтажное здание прямоугольное в плане с подвалом. С юго-западной стороны расположены небольшой пристрой;  конструкция крыши на 1900-е гг.: крыша основного объема вальмовая с металлической кровлей по деревянным конструкциям;   композиция и архитектурно-художественное оформление фасадов на 1900-е гг.:  Северо-восточный фасад:  композиция фасада:  фасад решен в пять оконных осей, 5-ая ось дверная главного входа в здание;  дверной проем оборудован цементным (с мраморной крошкой) крыльцом со ступенями и кованым зонтом:  1-ая и 5-ая оси выделены слабовыраженными ризалитами, фланкированными лопатками:  ризалит 5-ой оси в уровне крыши представлен аттиком (утрачен);  проемы прямоугольной формы с лучковым завершением.  проемы обрамлены рамочными наличниками с ушками;  фасад завершен карнизом и фризом, раскрепованными по лопаткам.  Декоративное оформление фасада:  профилировка многообломного карниза;  ряд иоников, профилировка в оформлении фриза;  руст основного поля фасада и лопаток, фланкирующих 6-ую ось;  ширинки в оформлении нижней части лопаток;  средняя часть лопаток, фланкирующих 2-ую ось, оформлена прямоугольной нишей с растительным ниспадающим лепным декором;  профилированный сандрик с рядом иоников на фигурных кронштейнах, филенка с гирляндой в оформлении оконных проемов;  наличники с 2-ой по 4-ую оси слитные, образующие прямоугольные желоба с полуциркульными завершениями в верхней и нижней частях;  подоконный элемент в виде камня «алмазной» огранки прямоугольной формы;  козырек над дверным проемом, с коваными ажурными кронштейнами, с вписанным в них растительным мотивом и изображением головы дракона;  подзор козырька содержит изображения цветов;  медальон с львиным маскароном над кованным козырьком главного входа.  Юго-западный фасад:  Композиция фасад:  фасад состоит из основного объема и объема небольшого дворового пристроя:  фасад основного объема решен в две оконные оси;  оконные проемы прямоугольной формы обрамлены наличниками с ушками;  фасад основного объема завершен карнизом.  Декоративное оформление фасада:  профилированный сандрик лучковой формы с подвышением в центре под металлической кровелькой в оформлении проема 2-ой оси основного объема здания;  кованые ступени.  Северо-западный фасад:  Композиция фасада:  фасад разделен пилястрами;  северный угол фасада оформлен лопаткой;  фасад завершен карнизом незначительного выноса.  Декоративное оформление фасада:  руст лопатки.  Виды отделки фасадной поверхности на 1900-е гг.: северо-восточный фасад оштукатурен, остальные фасады выполнены лицевой кирпичной кладкой.  Заполнение оконных и дверных проемов на 1900-е гг.: форма, габариты и местоположение проемов, материал (дерево под окраску) и рисунок оконных переплетов.   Пространственно-планировочная структура интерьеров: пространственно-планировочная структура здания, определенная подлинными несущими конструкциями исторического каркаса.  Конструктивные элементы на 1900-е гг.: фундамент ленточный, стены кирпичные.  в) Архитектурно-художественная ценность:  характерный образец жилого дома состоятельного армавирца конца               XIX – начала ХХ вв.  г) Историческая ценность:  объект связан с личностью известного промышленника и мецената, владельца первого на Кубани зимнего драматического театра Михаила Иосифовича Мисожникова.  С ноября 1949 года по настоящее время объект используется под нужды одного из старейших музеев Кубани – Армавирского краеведческого музея."
"Братская могила моряков торпедных катеров, погибших в боях с фашистскими захватчиками"," Краснодарский край, г. Геленджик, городская набережная, напротив бывшего санатория ""Солнце"" (от ул. Луначарского вниз по ул. Герцена до городской набережной, около 60 метров правее)",Памятник,
"Дом жилой, доходный, начало XX в."," Краснодарский край, г. Краснодар, ул. им. Кирова, 75, лит. А",Памятник,"Градостроительные характеристики  Местоположение объекта культурного наследия в системе застройки ул. им. Кирова в г. Краснодаре. Характерные точки визуального восприятия с ул. им. Кирова.   Архитектурная ценность  Первоначальное объемно-пространственное решение исторического, «Г»-образной конфигурации в плане, двухэтажного объема здания в существующих пропорциях, подлинных материалах, декоративном убранстве главного (восточного) фасада. Архитектурный облик: сочетание форм, характерных для периода эклектики начала ХХ века – главный (восточный) фасад выполнен с использованием приемов стиля «модерн». Наличие подвала под частью здания со стороны дворовой территории. Многоскатная чердачная конфигурация кровли с наружным организованным водоотводом. Композиционное решение и архитектурно-художественное оформление главного (восточного) фасада, включая форму, местоположение и оформление оконных проемов, а также проемов парадного входа и ворот въезда на дворовую территорию. Раскреповка главного (восточного) фасада боковыми слабовыраженными ризалитами, увенчанными декоративными парапетами. Углы ризалитов главного (восточного) фасада фланкированы лопатками. Горизонтальное членение главного (восточного) фасада цоколем и завершающим карнизом, горизонтальными тягами, планками, вставками с геометрическим и растительным орнаментом. Оконные проемы – прямоугольной конфигурации; проемы главного входа и проезда во двор – лучковой конфигурации. Исторический материал заполнения оконных и дверного проемов главного (восточного) фасада на период возведения здания – дерево. Ворота въезда на дворовую территорию – металлические кованые. Декоративное убранство главного (восточного) фасада: штукатурный и лепной декор (завершающий карниз, вертикальные лопатки ризалитов, горизонтальные тяги и планки. Декоративные венчающие парапеты ризалитов. Декоративные подоконные элементы с прямоугольными нишами; вставки с лепным декором, характерным для стиля «модерн». Вставки с геометрическим и растительным орнаментом). Декоративное убранство дворовых фасадов первоначального исторического объема: тесаный кирпичный декор (наличники оконных проемов с профилированной верхней полкой. Профилированные подоконные карнизы; межэтажный и завершающий карнизы). Материал и характер отделки фасадных поверхностей: главный (восточный) фасад: штукатурка с последующей окраской; штукатурка под «руст» с последующей окраской цоколя центральной части фасада; штукатурка «под шубу» межоконных простенков центральной части фасада; дворовые и торцевые фасады: лицевая кирпичная кладка с архитектурным кирпичным декором.   Архитектурные особенности (интерьер)  Местоположение, габариты и конфигурация внутренней парадной лестницы. Декоративные элементы интерьеров: кованые ограждения внутренней парадной лестницы с деревянными поручнями.   Историческая ценность  Подлинный объем материальной культуры, свидетельствующий о развитии архитектуры и строительства. Ценный образец сохранившейся жилой архитектуры начала XX века.  Предмет охраны может быть уточнен при последующих работах по подготовке научно-проектной документации по сохранению объекта культурного наследия.  "
